uid,nome_canonico,__prio,grupo,subgrupo,subgrupo_n3,preparo_detectado,chave_strict,chave_loose,ac_pantotenico_b5_mg_100g,acucares_totais_g_100g,amido_g_100g,beta_caroteno_ug_100g,calcio_mg_100g,carboidratos_g_100g,cinzas_g_100g,cloreto_mg_100g,cobalamina_b12_ug_100g,cobre_mg_100g,colesterol_mg_100g,energia_kcal_100g,energia_kj_100g,ferro_mg_100g,fibra_alimentar_g_100g,folato_b9_ug_100g,fosforo_mg_100g,iodo_ug_100g,lipidios_g_100g,magnesio_mg_100g,manganes_mg_100g,niacina_b3_mg_100g,piridoxina_b6_mg_100g,potassio_mg_100g,proteina_g_100g,retinol_ug_100g,riboflavina_b2_mg_100g,selenio_ug_100g,sodio_mg_100g,tiamina_b1_mg_100g,umidade_g_100g,vitamina_c_mg_100g,vitamina_d_ug_100g,vitamina_e_mg_100g,vitamina_k1_ug_100g,vitamina_k2_ug_100g,zinco_mg_100g,__fonte,nome_original,similar_group_id
1a87d989-23fe-5ec6-9210-674f4937dfa5,Meringue,4,,biscuits sucrés,-,,meringue,meringue,0.16,94.3,0.0,0.0,4.15,94.3,0.29,,0.1,0.03,0.0,,,0.18,,6.0,20.6,2.0,,4.76,,0.1,0.01,89.8,4.06,0.0,0.24,3.0,64.4,,0.8,0.0,0.0,0.0,,,0.15,CIQUAL,Meringue,191b5ffc8818
1a954244-b9d6-5ce8-9fd1-fc1b4ce1571b,"Bebida láctea, pêssego",2,Leite e derivados,,,,bebida lactea pessego,bebida lactea pessego,,,,,89,"7,6","0,7",,,"0,02",5,55,231,Tr,"0,3",,63,,"1,9",9,Tr,"0,33",Tr,62,"2,1",Tr,"0,14",,46,"0,03","87,7","0,02",,,,,"0,2",TACO,"Bebida láctea, pêssego",b034a2c64b66
1aa37650-f601-509e-a0df-35ceecce9027,"Pomme de terre vapeur, sous vide",4,,pommes de terre et autres tubercules,-,,pomme de terre vapeur sous vide,pomme de terre vapeur sous vide,,0.4,,,,15.4,0.24,,,,,,,,1.62,,,,0.2,,,,,,1.7,,,,96.2,,,14.7,,,,,,CIQUAL,"Pomme de terre vapeur, sous vide",90b45074d651
1aad92bc-2bfe-5198-85af-497cd64891eb,"Coeur, boeuf, cru",4,,viandes crues,abats,cru,coeur boeuf cru,coeur boeuf,2.15,0.0,0.0,0.0,5.48,0.7,1.1,,8.44,0.35,137.0,,,5.14,0.0,11.5,213.0,1.8,2.95,19.0,0.034,6.78,0.11,264.0,18.5,0.0,0.83,23.5,81.7,0.29,79.0,2.0,1.0,0.21,0.0,,1.49,CIQUAL,"Coeur, boeuf, cru",f82de0a9d4de
1aae1a58-afa1-5172-a648-6ab75eda48fb,Herbes aromatiques fraîches (aliment moyen),4,,herbes,herbes fraîches,,herbes aromatiques fraiches aliment moyen,herbes aromatiques fraiches aliment moyen,0.32,1.99,0.18,3240.0,218.0,4.15,2.01,,0.0,0.22,0.0,,,6.06,5.64,105.0,64.8,,0.8,56.7,1.37,1.29,0.16,508.0,3.58,0.43,0.2,0.28,34.7,0.08,84.2,103.0,0.00018,2.23,870.0,,0.88,CIQUAL,Herbes aromatiques fraîches (aliment moyen),58bb4402344b
1abeb3bc-3bd0-5cd6-9be4-27e6514198b4,"Abat, cuit (aliment moyen)",4,,viandes cuites,abats,,abat cuit aliment moyen,abat cuit aliment moyen,2.89,0.026,,34.3,9.73,1.36,1.66,,21.4,4.93,322.0,,,6.54,0.12,238.0,263.0,11.6,6.24,17.8,0.18,9.44,0.52,252.0,25.1,3450.0,1.34,24.5,244.0,0.2,64.8,10.3,0.77,0.39,1.4,,4.23,CIQUAL,"Abat, cuit (aliment moyen)",ff1ab2cf7fe0
1ac5e0c8-1cef-5dd2-8c27-ef91c52b4964,"Beurre à 80% MG, demi-sel",4,,beurres,-,,beurre a 80% mg demi-sel,beurre a 80% mg demi-sel,0.11,0.39,,158.0,17.8,0.55,2.05,1200.0,0.17,0.0092,218.0,,,0.13,0.0,3.0,24.0,1.5,81.4,4.94,0.0047,0.071,0.003,39.0,0.72,697.0,0.035,,762.0,0.006,15.3,0.0,1.13,2.11,7.0,,0.052,CIQUAL,"Beurre à 80% MG, demi-sel",a1c5df8cd29d
1ac88dde-ecdd-5de8-9cc4-fa05268c0350,"Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée",4,,algues,-,,kombu ou kombu japonais laminaria japonica sechee ou deshydratee,kombu ou kombu japonais laminaria japonica sechee ou deshydratee,,,,393000.0,803.0,24.2,20.4,,1.52,0.16,,,,13.3,34.8,127.0,761.0,236000.0,2.65,1050.0,0.49,1.5,0.081,10600.0,8.38,,0.48,137.0,2560.0,0.21,9.5,15.1,0.0,,,,1.22,CIQUAL,"Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée",a089b0bad6c8
1adb2c41-1fe4-55a9-9c28-49c5195d41c2,"Noz, miolo",3,,,,,noz miolo,noz miolo,,2.6,1.0,0.0,90.0,,,,0.0,,0.0,699,2880,2.6,5.2,66.0,290.0,,,160.0,,0.9,0.67,500.0,16.7,,0.14,,12.0,0.33,4.9,1.0,0.0,,,,2.7,INSA,"Noz, miolo",21bd58e28f68
1ae0afc1-7397-578b-97e7-ed8d3e22bbd5,"Brick à la pomme de terre, fait maison, cuit",4,,feuilletées et autres entrées,-,,brick a la pomme de terre fait maison cuit,brick a la pomme de terre fait maison cuit,0.49,1.5,15.9,45.0,26.4,19.6,1.7,,0.09,0.07,31.0,,,0.6,1.7,21.0,54.0,5.9,13.4,13.8,0.11,1.06,0.19,252.0,3.25,14.0,0.06,1.5,400.0,0.08,60.2,8.8,0.14,7.7,,,0.26,CIQUAL,"Brick à la pomme de terre, fait maison, cuit",5eea3835df93
1aee11ae-a2e3-53b3-b984-a2883aa4ab19,"Imperador assado com cebola, tomate, azeite e óleo alimentar",3,,,,assado,imperador assado com cebola tomate azeite e oleo alimentar,imperador com cebola tomate azeite e oleo alimentar,,1.2,0.0,101.0,19.0,,,,0.23,,23.0,94,393,0.4,0.5,11.0,140.0,,,27.0,,2.5,0.14,290.0,13.7,,0.02,,320.0,0.08,78.9,4.1,1.7,,,,0.4,INSA,"Imperador assado com cebola, tomate, azeite e óleo alimentar",e52bc8fac07a
1af12bce-c434-5f37-a74e-c5c206023367,Beignet de crevette,4,,produits à base de poissons et produits de la mer,-,,beignet de crevette,beignet de crevette,,11.0,,,77.0,26.0,2.38,1000.0,,,,,,1.0,1.0,,,22.0,10.0,18.1,,,,102.0,6.5,,,41.7,770.0,,54.2,,,,,,0.5,CIQUAL,Beignet de crevette,fb13e602ddd3
1afb15b5-e50f-5ba3-b671-8ef7d64c4bca,"Jus de pamplemousse (pomélo), maison",4,,boissons sans alcool,jus,,jus de pamplemousse pomelo maison,jus de pamplemousse pomelo maison,0.19,9.1,0.0,4.0,9.0,9.1,0.2,,0.0,0.033,0.0,,,0.2,0.1,10.0,15.0,0.6,0.1,12.0,0.02,0.2,0.044,162.0,0.5,0.0,0.02,,1.0,0.04,90.0,38.0,0.0,0.22,0.0,,0.05,CIQUAL,"Jus de pamplemousse (pomélo), maison",994a7b8639ef
1b112cd8-68ed-53ff-8820-2ffc2b3bf300,Doce de framboesa,3,,,,,doce de framboesa,doce de framboesa,,59.7,0.0,0.0,24.0,,,,0.0,,0.0,242,1030,1.0,1.0,0.0,12.0,,,10.0,,0.0,0.0,110.0,0.4,,0.0,,16.0,0.0,38.7,0.0,0.0,,,,0.2,INSA,Doce de framboesa,62b61108b6f4
1b1c3c19-ff36-5ab9-9a15-7b0cd35e04ca,Confiture d'abricot (extra ou classique),4,,confitures et assimilés,-,,confiture d abricot extra ou classique,confiture d abricot extra ou classique,0.072,56.8,2.95,82.1,8.7,59.7,0.25,,,0.03,0.0,,,0.14,1.1,,7.7,,0.3,4.4,0.03,,0.022,110.0,,0.0,,,5.0,,39.2,6.42,,0.7,,,0.07,CIQUAL,Confiture d'abricot (extra ou classique),5a8248c44171
1b29fe1f-13f7-5a1b-8480-b8095b9eb61f,"Céréales pour petit déjeuner ""équilibre"" aux fruits, enrichies en vitamines et minéraux",4,,céréales de petit-déjeuner,-,,cereales pour petit dejeuner equilibre aux fruits enrichies en vitamines et mineraux,cereales pour petit dejeuner equilibre aux fruits enrichies en vitamines et mineraux,5.79,20.6,54.7,,354.0,77.9,2.5,,2.03,,,,,10.6,4.4,205.0,170.0,20.0,1.74,58.3,1.6,17.2,1.67,237.0,10.5,0.0,1.52,27.8,424.0,1.25,3.0,77.4,,10.1,,,1.5,CIQUAL,"Céréales pour petit déjeuner ""équilibre"" aux fruits, enrichies en vitamines et minéraux",9decb89c2d8a
1b2e7019-cb00-55f0-8812-c275fb71303d,"Quibe, frito",2,Carnes e derivados,,,frito,quibe frito,quibe,,,,,22,"12,3","3,0",,,"0,16",38,254,1062,"2,0",,,166,,"15,8",39,"0,72","1,50",Tr,322,"14,9",Tr,"0,10",,836,"0,12","54,0","0,16",,,,,"2,8",TACO,"Quibe, frito",182b0d799864
1b3a709e-46f0-5bf5-bc96-70862138ff86,"Arroz, tipo 1, cru",2,Cereais e derivados,,,cru,arroz tipo 1 cru,arroz tipo 1,,,,,4,"78,8","0,5",,,"0,11",,358,1497,"0,7","1,6",,104,,"0,3",30,"1,03","1,12","0,07",62,"7,2",,Tr,,1,"0,16","13,2","0,11",,,,,"1,2",TACO,"Arroz, tipo 1, cru",0dc1d65f16f1
1b4d2c36-09ca-5127-ab1c-fb8b2300f091,"Queijo de cabra ""Pure chèvre""",3,,,,,queijo de cabra pure chevre,queijo de cabra pure chevre,,2.0,0.0,4.0,120.0,,,,0.15,,107.0,286,1190,0.3,0.0,84.2,210.0,,,16.0,,1.43,0.25,230.0,13.0,,0.89,,400.0,0.02,51.6,0.0,0.5,,,,0.6,INSA,"Queijo de cabra ""Pure chèvre""",9cfe165f309e
1b546d62-4e31-5e7a-a2a8-1bc76176186b,"Mousse de fromage blanc sur lit de fruits, 0% MG, avec édulcorants, enrichie en calcium et vitamine D",4,,produits laitiers frais et assimilés,fromages blancs,,mousse de fromage blanc sur lit de fruits 0% mg avec edulcorants enrichie en calcium et vitamine d,mousse de fromage blanc sur lit de fruits 0% mg avec edulcorants enrichie en calcium et vitamine d,,5.05,,,120.0,6.0,0.27,,,,,,,,1.35,,,,0.45,,,,,,6.35,,,,60.0,,,,0.75,,,,,CIQUAL,"Mousse de fromage blanc sur lit de fruits, 0% MG, avec édulcorants, enrichie en calcium et vitamine D",1f4352859db4
1b59960e-50db-5dde-ba6b-dd1035e85713,79,1,,,,,79,79,,,,,28.0,2.4,0.8,,,0.03,,14.0,58.0,0.6,2.3,,26.0,,0.1,9.0,0.33,0.75,0.07,349.0,1.7,,0.08,,4.0,0.09,95.0,21.4,,,,,0.3,TBCA,79,b74f5ee94614
1b5fa3a8-2686-5319-b91f-11051d754a5a,"Navet, surgelé, cru",4,,légumes,légumes crus,cru,navet surgele cru,navet surgele,0.11,1.9,,,23.0,2.0,0.26,,0.0,0.045,0.0,,,0.7,1.85,8.0,20.0,,0.18,10.0,0.071,0.4,0.048,137.0,0.82,0.0,0.02,,25.0,0.03,95.7,4.4,0.0,,,,0.14,CIQUAL,"Navet, surgelé, cru",399d292714ac
1b62b7c1-b279-5001-b051-9d63df493d71,Jus de fruits (aliment moyen),4,,boissons sans alcool,jus,,jus de fruits aliment moyen,jus de fruits aliment moyen,0.19,9.24,0.011,51.2,5.0,9.58,0.38,,0.0,0.029,0.0,,,0.12,0.29,22.8,14.3,2.02,0.14,9.22,0.068,0.29,0.086,152.0,0.52,0.0,0.023,,5.18,0.064,88.5,32.5,0.0001,0.18,0.14,,0.041,CIQUAL,Jus de fruits (aliment moyen),8ae566134e87
