uid,__fonte,nome_original,nome_canonico,chave_strict,chave_loose,preparo_detectado,grupo,subgrupo,subgrupo_n3
f4f527ff-74dc-51d5-8c38-9d3135ec1859,CIQUAL,"Lait écrémé, pasteurisé","Lait écrémé, pasteurisé",lait ecreme pasteurise,lait ecreme pasteurise,,,laits,laits de vaches liquides (non concentrés)
f4f83def-7e8d-51d0-8dd5-fd4cbdf195c8,TBCA,574,574,574,574,,,,
f4ff1e37-e99a-5e87-a342-799df5980eb8,TBCA,48,48,48,48,,,,
f5007569-229d-5a71-9405-bd99a2ff8de2,CIQUAL,"Corb, cru","Corb, cru",corb cru,corb,cru,,poissons crus,-
f5157da6-96f2-511c-830b-c2b65324d4ac,CIQUAL,Provolone,Provolone,provolone,provolone,,,fromages et assimilés,fromages à pâte pressée
f51ee803-2797-5fce-ad17-0dd578816085,INSA,Croissant,Croissant,croissant,croissant,,,,
f53026b5-7cea-5b10-90de-106a0bf3be2d,CIQUAL,"Tournesol, graine","Tournesol, graine",tournesol graine,tournesol graine,,,fruits à coque et graines oléagineuses,-
f5354ed7-259e-51d8-82ed-09efddd5e757,INSA,Feijão-verde fresco cru,Feijão-verde fresco cru,feijao-verde fresco cru,feijao-verde fresco,cru,,,
f5355438-86c5-5f7f-8c15-a9fb6a15d71a,INSA,"Vitela, fígado grelhado","Vitela, fígado grelhado",vitela figado grelhado,vitela figado,grelhado,,,
f5379d31-0a34-5ce3-a51a-ba7c7c6f5741,INSA,Donut recheado com doce de fruta,Donut recheado com doce de fruta,donut recheado com doce de fruta,donut recheado com doce de fruta,,,,
f53fcf81-17a9-52d7-a5e8-cf5e5a31c6dd,INSA,Doce de alperce,Doce de alperce,doce de alperce,doce de alperce,,,,
f542f15e-e7a1-52a1-8795-e4525bddb69a,CIQUAL,"Veau, côte, crue","Veau, côte, crue",veau cote crue,veau cote crue,,,viandes crues,bœuf et veau
f5587b22-37bd-5bcb-8690-85b83da42353,TACO,"Charuto, de repolho","Charuto, de repolho",charuto de repolho,charuto de repolho,,Alimentos preparados,,
f565158b-c1ee-53e8-a45b-2ac674ab2560,INSA,Alternativa vegetal ao iogurte à base de soja,Alternativa vegetal ao iogurte à base de soja,alternativa vegetal ao iogurte a base de soja,alternativa vegetal ao iogurte a base de soja,,,,
f56de342-536e-5101-b5b5-807840863ea1,TBCA,202,202,202,202,,,,
f580fc02-555f-5a82-9dd2-e02ff06aeaa3,TACO,"Frango, peito, com pele, cru","Frango, peito, com pele, cru",frango peito com pele cru,frango peito com pele,cru,Carnes e derivados,,
f580fc02-555f-5a82-9dd2-e02ff06aeaa3,INSA,"Frango, peito com pele, cru","Frango, peito com pele, cru",frango peito com pele cru,frango peito com pele,cru,,,
f581912e-bce0-5cab-b5a0-439e730db23c,TBCA,243,243,243,243,,,,
f587291e-641f-59ae-844f-5e05e41b5d2e,CIQUAL,"Tofu nature, préemballé","Tofu nature, préemballé",tofu nature preemballe,tofu nature preemballe,,,substitus de produits carnés,-
f58c3c55-9729-55f1-8157-a449f51721df,CIQUAL,"Nem ou Pâté impérial, au poulet, préemballé, cuit","Nem ou Pâté impérial, au poulet, préemballé, cuit",nem ou pate imperial au poulet preemballe cuit,nem ou pate imperial au poulet preemballe cuit,,,feuilletées et autres entrées,-
f5960b38-35fa-5ea0-b8e8-0828cdfd8fd3,INSA,Iogurte grego natural,Iogurte grego natural,iogurte grego natural,iogurte grego natural,,,,
f59eb7b0-173c-59b9-99fc-763520123f2f,INSA,"Sopa, puré de feijão","Sopa, puré de feijão",sopa pure de feijao,sopa pure de feijao,,,,
f5cb2b77-f48b-50a0-807d-06c375f2d12b,INSA,"Abacate, Hass","Abacate, Hass",abacate hass,abacate hass,,,,
f5d58364-d2ec-58aa-b658-0587dd7416bf,CIQUAL,"Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré","Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré",yaourt lait fermente ou specialite laitiere aux fruits sucre,yaourt lait fermente ou specialite laitiere aux fruits sucre,,,produits laitiers frais et assimilés,yaourts et spécialités laitières type yaourt
f5dadb67-15b5-5f16-8aa8-f0542f6b9c82,CIQUAL,"Gnocchi, cuit (aliment moyen)","Gnocchi, cuit (aliment moyen)",gnocchi cuit aliment moyen,gnocchi cuit aliment moyen,,,"pâtes, riz et céréales","pâtes, riz et céréales cuits"
f5dba9f3-1012-52b6-b739-706c6f83f92f,CIQUAL,Osso buco,Osso buco,osso buco,osso buco,,,plats composés,plats de viande et légumes/légumineuses
f5eac109-f523-5c20-856d-bbc700e1b45d,TBCA,149,149,149,149,,,,
f5f5e60e-6a4d-56bf-9753-ea2287e706b0,CIQUAL,Saucisse de bière,Saucisse de bière,saucisse de biere,saucisse de biere,,,charcuteries et assimilés,saucisses et assimilés
f6213da3-7966-5284-95f2-cfc097cf0ce4,CIQUAL,"Cheval, tende de tranche, grillée/poêlée","Cheval, tende de tranche, grillée/poêlée",cheval tende de tranche grillee/poelee,cheval tende de tranche grillee/poelee,,,viandes cuites,autres viandes
f63d34c8-3564-5577-b102-30b47df97a80,CIQUAL,Gratin de légumes,Gratin de légumes,gratin de legumes,gratin de legumes,,,plats composés,plats de légumes/légumineuses
f63e6760-7c1f-52e1-9717-a3380d7201c2,CIQUAL,"Lait emprésuré aromatisé, rayon frais","Lait emprésuré aromatisé, rayon frais",lait empresure aromatise rayon frais,lait empresure aromatise rayon frais,,,produits laitiers frais et assimilés,desserts lactés
f63ee969-b316-54af-a587-980d36137280,CIQUAL,"Grains de blé soufflés au miel ou caramel, enrichis en vitamines et minéraux","Grains de blé soufflés au miel ou caramel, enrichis en vitamines et minéraux",grains de ble souffles au miel ou caramel enrichis en vitamines et mineraux,grains de ble souffles au miel ou caramel enrichis en vitamines et mineraux,,,céréales de petit-déjeuner,-
f64f515a-e31d-5fbd-b10f-937799e722b8,CIQUAL,"Sel marin gris, non iodé, non fluoré","Sel marin gris, non iodé, non fluoré",sel marin gris non iode non fluore,sel marin gris non iode non fluore,,,sels,-
f651c127-0c99-570c-9efe-2befdee9af5c,CIQUAL,"Ravioli chinois à la vapeur à la crevette, cuit","Ravioli chinois à la vapeur à la crevette, cuit",ravioli chinois a la vapeur a la crevette cuit,ravioli chinois a la vapeur a la crevette cuit,,,plats composés,plats de céréales/pâtes
f659f3f9-d127-5372-b409-b5785fee0478,TBCA,280,280,280,280,,,,
f66ac596-70db-5128-ad7f-90cb06bea4ee,CIQUAL,"Soupe marocaine, déshydratée reconstituée","Soupe marocaine, déshydratée reconstituée",soupe marocaine deshydratee reconstituee,soupe marocaine deshydratee reconstituee,,,soupes,-
f66f0cf1-cbbc-5c32-9800-e32696a8fc0c,INSA,Amora silvestre,Amora silvestre,amora silvestre,amora silvestre,,,,
f670a1bc-0b07-5f9e-a3c4-4e51e0da2d1e,CIQUAL,"Huître, sans précision, crue","Huître, sans précision, crue",huitre sans precision crue,huitre sans precision crue,,,mollusques et crustacés crus,-
f67b9601-dc31-5a80-835a-119f8a80c04a,TACO,"Pinhão, cozido","Pinhão, cozido",pinhao cozido,pinhao,cozido,Nozes e sementes,,
